Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,4084.62,безналичный,Минск,БелАгропромбанк-NPIO-510,25-02-2006,15:49:11,успешно,нет,0.0
юр. лицо,списание средств,3389.69,безналичный,Минск,Приорбанк-TZLY-413,13-02-2001,23:41:39,успешно,нет,0.0
юр. лицо,получение средств,1653.17,наличный,Минск,БелАгропромбанк-LEFK-578,13-08-2000,19:10:54,успешно,нет,0.0
юр. лицо,получение средств,875.54,наличный,Минск,Белинвестбанк-GVAT-585,24-05-2017,12:47:09,успешно,нет,0.0
юр. лицо,получение средств,119.55,безналичный,Минск,МаксБанк-SGVN-434,09-04-2015,09:33:39,успешно,нет,0.0
физ. лицо,списание средств,4914.93,безналичный,Минск,Приорбанк-JELD-473,03-07-2015,03:31:35,успешно,да,312.9
физ. лицо,получение средств,2335.21,безналичный,Минск,Белинвестбанк-ISVC-596,11-06-2007,06:42:54,успешно,нет,0.0
физ. лицо,списание средств,3519.81,безналичный,Минск,Беларусбанк-QHAS-422,03-07-2020,13:54:26,неправильный ввод пин-кода,да,338.63
физ. лицо,списание средств,2035.86,наличный,Минск,Белинвестбанк-OAKL-179,03-02-2008,17:37:55,недостаточно средств,нет,0.0
физ. лицо,получение средств,1193.9,наличный,Минск,БелАгропромбанк-HDDM-504,15-05-2006,19:26:32,успешно,нет,0.0
физ. лицо,получение средств,2548.99,наличный,Минск,БелАгропромбанк-JNMY-834,15-09-2009,23:05:04,успешно,нет,0.0
физ. лицо,списание средств,1007.43,безналичный,Минск,Беларусбанк-XYCA-982,30-08-2020,14:54:42,недостаточно средств,да,76.19
физ. лицо,списание средств,2843.84,наличный,Минск,Белинвестбанк-WCNL-520,02-05-2001,14:57:12,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4031.58,безналичный,Минск,Белинвестбанк-HKUC-765,07-10-2023,07:51:27,успешно,нет,0.0
юр. лицо,получение средств,4139.27,наличный,Минск,БелАгропромбанк-PSVF-738,06-10-2007,07:38:53,успешно,нет,0.0
физ. лицо,списание средств,1693.34,безналичный,Минск,Беларусбанк-SPAJ-470,04-06-2022,18:55:08,неправильный ввод пин-кода,да,29.97
юр. лицо,списание средств,2439.43,наличный,Минск,Приорбанк-PITU-832,13-09-2008,16:34:41,успешно,нет,0.0
физ. лицо,списание средств,3924.0,наличный,Минск,МаксБанк-SGUB-737,09-11-2007,07:02:24,успешно,да,90.8
юр. лицо,списание средств,4444.99,наличный,Минск,Приорбанк-BXBB-911,03-12-2010,20:44:36,недостаточно средств,да,218.98
юр. лицо,списание средств,1156.92,безналичный,Минск,Белинвестбанк-VAFK-959,28-08-2004,00:00:10,недостаточно средств,да,82.68
юр. лицо,получение средств,3915.64,безналичный,Минск,Белинвестбанк-PJQV-730,24-09-2023,05:00:17,успешно,нет,0.0
юр. лицо,получение средств,3290.37,безналичный,Минск,БелАгропромбанк-OJJD-302,06-10-2011,04:02:49,успешно,нет,0.0
физ. лицо,получение средств,509.98,безналичный,Минск,Приорбанк-ERCO-352,30-10-2002,16:03:38,успешно,нет,0.0
физ. лицо,списание средств,4667.69,наличный,Минск,Белинвестбанк-NFKM-082,16-04-2004,23:02:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,30.5,наличный,Минск,Белинвестбанк-FIEQ-233,09-12-2008,23:51:59,успешно,нет,0.0
юр. лицо,списание средств,2665.78,наличный,Минск,БелАгропромбанк-JPPX-082,24-07-2004,17:58:32,недостаточно средств,да,54.53
физ. лицо,списание средств,1958.88,наличный,Минск,Приорбанк-VOCM-232,14-06-2011,23:20:02,недостаточно средств,да,48.77
физ. лицо,списание средств,3901.58,наличный,Минск,Беларусбанк-ZRTZ-711,07-01-2018,09:31:46,недостаточно средств,да,245.28
физ. лицо,получение средств,1162.8,наличный,Минск,Беларусбанк-SVFW-502,22-11-2012,19:50:54,успешно,нет,0.0
физ. лицо,списание средств,2619.79,безналичный,Минск,Беларусбанк-IUDL-119,11-08-2011,05:39:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2788.94,безналичный,Минск,Белинвестбанк-YRHA-883,29-12-2007,00:55:51,успешно,нет,0.0
юр. лицо,списание средств,4946.0,наличный,Минск,Приорбанк-HAJY-931,18-09-2007,08:53:09,недостаточно средств,нет,0.0
юр. лицо,получение средств,3135.07,наличный,Минск,БелАгропромбанк-BQFK-861,03-05-2012,15:39:10,успешно,нет,0.0
юр. лицо,списание средств,544.68,безналичный,Минск,Беларусбанк-MQUY-605,06-03-2021,11:35:33,недостаточно средств,нет,0.0
физ. лицо,списание средств,176.06,безналичный,Минск,Приорбанк-EOOM-715,17-07-2012,04:59:25,недостаточно средств,да,8.07
физ. лицо,списание средств,4843.34,безналичный,Минск,МаксБанк-ZHVF-880,04-10-2021,07:48:30,успешно,нет,0.0
физ. лицо,списание средств,4231.6,безналичный,Минск,Белинвестбанк-CIPX-784,24-03-2017,07:54:03,успешно,нет,0.0
юр. лицо,получение средств,797.71,наличный,Минск,Приорбанк-UUCL-336,03-11-2022,06:56:46,успешно,нет,0.0
юр. лицо,списание средств,3552.31,наличный,Минск,МаксБанк-NDJI-968,03-12-2009,14:16:06,успешно,да,217.57
юр. лицо,списание средств,1029.35,безналичный,Минск,Приорбанк-JVAQ-069,23-05-2012,16:19:41,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3854.35,наличный,Минск,Приорбанк-VISR-330,01-11-2005,07:37:29,успешно,нет,0.0
физ. лицо,списание средств,93.19,наличный,Минск,Белинвестбанк-VNXZ-290,24-12-2021,08:45:06,успешно,нет,0.0
юр. лицо,списание средств,4510.45,безналичный,Минск,МаксБанк-PMEP-445,03-04-2014,17:34:18,успешно,нет,0.0
юр. лицо,получение средств,3285.82,наличный,Минск,Приорбанк-DYMQ-439,21-12-2004,08:37:15,успешно,нет,0.0
юр. лицо,получение средств,4131.7,безналичный,Минск,Приорбанк-PSHA-119,10-04-2005,19:07:55,успешно,нет,0.0
юр. лицо,получение средств,3280.03,наличный,Минск,Белинвестбанк-TTZJ-577,25-01-2007,02:29:22,успешно,нет,0.0
физ. лицо,списание средств,4249.78,безналичный,Минск,МаксБанк-LINH-463,18-11-2017,02:00:39,неправильный ввод пин-кода,да,66.13
физ. лицо,получение средств,2451.39,безналичный,Минск,Белинвестбанк-MKHV-571,04-10-2006,04:12:22,успешно,нет,0.0
физ. лицо,списание средств,1135.42,наличный,Минск,МаксБанк-WCEY-834,06-07-2012,22:42:28,успешно,да,80.06
физ. лицо,получение средств,4076.97,наличный,Минск,Приорбанк-ICWZ-962,26-04-2004,00:10:41,успешно,нет,0.0
юр. лицо,списание средств,779.92,наличный,Минск,МаксБанк-BJLO-350,21-09-2007,10:28:40,успешно,да,30.03
юр. лицо,списание средств,2929.22,безналичный,Минск,БелАгропромбанк-GTAU-678,25-11-2007,12:00:38,недостаточно средств,нет,0.0
физ. лицо,списание средств,3578.42,наличный,Минск,Беларусбанк-JDKF-708,12-05-2006,18:55:14,недостаточно средств,нет,0.0
физ. лицо,списание средств,42.64,наличный,Минск,МаксБанк-HJHJ-465,12-01-2022,01:19:04,недостаточно средств,да,3.21
физ. лицо,получение средств,4113.72,безналичный,Минск,Приорбанк-QRLU-262,31-08-2013,01:34:48,успешно,нет,0.0
физ. лицо,получение средств,104.8,наличный,Минск,Беларусбанк-JWJX-400,06-08-2008,01:45:23,успешно,нет,0.0
физ. лицо,получение средств,3520.86,безналичный,Минск,БелАгропромбанк-DKPK-542,23-03-2004,10:21:25,успешно,нет,0.0
юр. лицо,списание средств,217.82,наличный,Минск,Беларусбанк-GTNS-796,08-09-2021,17:47:17,недостаточно средств,нет,0.0
физ. лицо,получение средств,3240.84,безналичный,Минск,МаксБанк-UQGW-251,30-04-2013,08:43:25,успешно,нет,0.0
юр. лицо,списание средств,734.05,наличный,Минск,МаксБанк-LIFE-512,30-10-2022,07:38:15,недостаточно средств,да,32.81
физ. лицо,списание средств,585.07,наличный,Минск,Белинвестбанк-CGPK-626,18-01-2014,01:55:47,недостаточно средств,нет,0.0
юр. лицо,получение средств,1415.56,безналичный,Минск,МаксБанк-VGQQ-917,19-05-2005,18:29:47,успешно,нет,0.0
физ. лицо,списание средств,2942.23,наличный,Минск,БелАгропромбанк-WXQV-537,29-08-2022,15:49:25,успешно,да,155.71
физ. лицо,списание средств,1302.45,безналичный,Минск,Беларусбанк-YPHP-341,05-04-2018,23:43:57,недостаточно средств,нет,0.0
физ. лицо,получение средств,4093.11,безналичный,Минск,БелАгропромбанк-JYZW-680,12-09-2001,21:41:45,успешно,нет,0.0
физ. лицо,списание средств,2454.87,наличный,Минск,Приорбанк-RIKO-524,09-08-2009,19:05:32,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2810.94,наличный,Минск,Приорбанк-BEOD-778,20-09-2001,03:50:15,успешно,нет,0.0
физ. лицо,получение средств,975.32,наличный,Минск,Приорбанк-JXWL-322,17-12-2002,04:00:08,успешно,нет,0.0
физ. лицо,списание средств,1541.08,наличный,Минск,МаксБанк-PUWF-164,09-11-2009,12:27:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4054.48,наличный,Минск,БелАгропромбанк-YNLR-394,21-03-2024,07:00:17,успешно,нет,0.0
физ. лицо,получение средств,1563.12,безналичный,Минск,Приорбанк-LIGQ-128,03-02-2003,06:22:31,успешно,нет,0.0
физ. лицо,списание средств,3792.07,наличный,Минск,Беларусбанк-EAGH-550,08-04-2020,15:55:50,неправильный ввод пин-кода,да,80.34
физ. лицо,списание средств,1087.68,наличный,Минск,МаксБанк-MRLP-749,04-08-2024,12:24:29,успешно,да,77.06
юр. лицо,получение средств,312.29,наличный,Минск,БелАгропромбанк-VPGD-584,07-10-2001,18:48:22,успешно,нет,0.0
юр. лицо,списание средств,834.26,наличный,Минск,МаксБанк-UOAH-402,12-05-2019,02:49:21,успешно,да,27.4
юр. лицо,получение средств,4454.98,наличный,Минск,Приорбанк-YMXF-773,25-06-2008,16:24:48,успешно,нет,0.0
физ. лицо,списание средств,474.23,безналичный,Минск,Приорбанк-BBME-922,05-08-2022,11:35:12,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2339.3,безналичный,Минск,Приорбанк-LPWL-832,23-08-2016,15:30:39,успешно,нет,0.0
физ. лицо,списание средств,487.78,безналичный,Минск,МаксБанк-IPOS-184,15-08-2009,09:23:02,успешно,да,31.4
физ. лицо,списание средств,846.03,наличный,Минск,Беларусбанк-LJNV-803,27-06-2021,06:59:23,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2372.89,безналичный,Минск,Беларусбанк-FNXM-302,08-06-2024,12:42:36,неправильный ввод пин-кода,да,118.0
юр. лицо,получение средств,4880.27,безналичный,Минск,Беларусбанк-OQTH-809,31-01-2004,20:16:33,успешно,нет,0.0
юр. лицо,получение средств,1098.97,наличный,Минск,БелАгропромбанк-BITD-600,05-08-2022,19:05:48,успешно,нет,0.0
физ. лицо,получение средств,4725.13,наличный,Минск,Беларусбанк-DLGK-036,03-06-2008,09:35:53,успешно,нет,0.0
юр. лицо,списание средств,1408.47,наличный,Минск,Приорбанк-ZZOR-015,13-06-2005,04:25:40,успешно,да,107.16
юр. лицо,списание средств,2463.1,безналичный,Минск,Приорбанк-BPCW-040,19-09-2024,10:30:26,неправильный ввод пин-кода,да,135.55
юр. лицо,списание средств,760.39,наличный,Минск,Белинвестбанк-VHQX-462,19-10-2003,13:05:07,успешно,да,20.62
физ. лицо,получение средств,621.58,безналичный,Минск,БелАгропромбанк-GIXA-563,23-05-2014,01:05:06,успешно,нет,0.0
юр. лицо,списание средств,731.64,наличный,Минск,Беларусбанк-NPKJ-769,28-10-2002,14:05:15,недостаточно средств,да,42.5
физ. лицо,получение средств,1481.37,наличный,Минск,Приорбанк-TSPQ-218,16-01-2005,18:19:51,успешно,нет,0.0
физ. лицо,получение средств,3701.19,наличный,Минск,Белинвестбанк-IPLT-775,14-05-2023,18:32:46,успешно,нет,0.0
физ. лицо,списание средств,2975.89,наличный,Минск,МаксБанк-GEOQ-929,15-10-2006,07:16:45,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,732.56,безналичный,Минск,БелАгропромбанк-ALKD-893,16-02-2007,18:32:55,успешно,нет,0.0
юр. лицо,списание средств,2632.71,безналичный,Минск,Беларусбанк-GMHN-543,15-05-2022,08:35:16,успешно,да,209.21
юр. лицо,списание средств,3656.46,наличный,Минск,БелАгропромбанк-AKOD-399,03-04-2000,15:53:44,успешно,да,87.91
юр. лицо,получение средств,4940.43,наличный,Минск,Беларусбанк-POJY-855,23-02-2013,04:17:35,успешно,нет,0.0
физ. лицо,получение средств,4110.77,безналичный,Минск,БелАгропромбанк-ZTZO-947,10-05-2005,08:48:47,успешно,нет,0.0
юр. лицо,получение средств,2417.66,безналичный,Минск,МаксБанк-JMQS-352,24-05-2014,00:28:27,успешно,нет,0.0
юр. лицо,получение средств,1202.24,наличный,Минск,МаксБанк-GYMB-044,11-02-2004,04:04:09,успешно,нет,0.0
физ. лицо,получение средств,3583.77,безналичный,Минск,Белинвестбанк-AFCX-970,14-08-2021,12:40:15,успешно,нет,0.0
юр. лицо,списание средств,4582.85,наличный,Минск,Беларусбанк-QSOE-396,09-02-2005,22:10:59,неправильный ввод пин-кода,да,320.89
юр. лицо,получение средств,4283.84,наличный,Минск,МаксБанк-UPSO-116,09-08-2002,20:08:34,успешно,нет,0.0
юр. лицо,получение средств,184.32,наличный,Минск,Беларусбанк-NVUH-835,18-03-2021,05:47:06,успешно,нет,0.0
юр. лицо,списание средств,2661.21,наличный,Минск,МаксБанк-GMFD-994,31-08-2008,14:22:47,недостаточно средств,да,157.18
физ. лицо,получение средств,3061.09,безналичный,Минск,Беларусбанк-WQZF-802,28-04-2010,05:15:00,успешно,нет,0.0
физ. лицо,получение средств,4510.37,безналичный,Минск,Беларусбанк-OZZH-940,17-12-2015,09:47:42,успешно,нет,0.0
физ. лицо,получение средств,575.84,наличный,Минск,Беларусбанк-QUDH-413,20-04-2018,18:13:56,успешно,нет,0.0
физ. лицо,получение средств,3201.95,безналичный,Минск,МаксБанк-QRTO-756,28-03-2022,20:02:34,успешно,нет,0.0
физ. лицо,списание средств,390.21,наличный,Минск,МаксБанк-WMHB-140,15-01-2006,19:31:54,недостаточно средств,нет,0.0
физ. лицо,получение средств,1553.44,наличный,Минск,Приорбанк-IBVT-532,05-02-2003,20:01:29,успешно,нет,0.0
физ. лицо,списание средств,1114.4,наличный,Минск,МаксБанк-FXII-350,25-03-2015,03:36:54,успешно,да,13.27
физ. лицо,получение средств,2230.01,безналичный,Минск,Беларусбанк-WAJW-052,11-02-2018,14:03:04,успешно,нет,0.0
физ. лицо,списание средств,4501.54,наличный,Минск,Приорбанк-TLTN-517,25-02-2007,12:02:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3145.73,безналичный,Минск,МаксБанк-JGBR-241,01-06-2001,07:40:53,успешно,нет,0.0
юр. лицо,списание средств,3324.28,безналичный,Минск,Беларусбанк-DYCD-761,16-06-2014,20:57:10,неправильный ввод пин-кода,да,47.48
юр. лицо,получение средств,4239.89,наличный,Минск,БелАгропромбанк-KQEV-057,05-06-2016,18:39:00,успешно,нет,0.0
физ. лицо,списание средств,3752.44,безналичный,Минск,Приорбанк-APJI-173,20-12-2015,14:37:25,недостаточно средств,нет,0.0
физ. лицо,списание средств,2813.88,наличный,Минск,МаксБанк-MHBH-558,23-08-2018,05:48:43,успешно,нет,0.0
юр. лицо,получение средств,1701.66,безналичный,Минск,БелАгропромбанк-HYHZ-895,28-03-2015,15:41:08,успешно,нет,0.0
физ. лицо,списание средств,1450.26,безналичный,Минск,МаксБанк-BEAI-725,25-03-2016,12:59:42,успешно,нет,0.0
физ. лицо,получение средств,1011.83,наличный,Минск,МаксБанк-JVDN-616,03-12-2019,00:25:55,успешно,нет,0.0
физ. лицо,списание средств,1861.99,безналичный,Минск,МаксБанк-UPKA-947,30-05-2013,10:24:59,недостаточно средств,нет,0.0
физ. лицо,получение средств,1441.45,безналичный,Минск,Беларусбанк-UIMS-213,24-06-2012,13:26:26,успешно,нет,0.0
юр. лицо,получение средств,2163.95,наличный,Минск,Беларусбанк-QLUK-827,28-06-2011,21:00:29,успешно,нет,0.0
физ. лицо,получение средств,1236.85,наличный,Минск,БелАгропромбанк-IOCM-826,28-06-2021,03:30:57,успешно,нет,0.0
физ. лицо,получение средств,3200.23,безналичный,Минск,Белинвестбанк-LUNY-800,20-06-2020,11:29:32,успешно,нет,0.0
юр. лицо,получение средств,761.2,наличный,Минск,МаксБанк-KFMZ-624,26-07-2020,08:11:35,успешно,нет,0.0
юр. лицо,получение средств,2752.65,наличный,Минск,МаксБанк-PRAN-772,31-07-2022,22:48:48,успешно,нет,0.0
физ. лицо,списание средств,883.2,безналичный,Минск,Приорбанк-ZBST-610,24-09-2004,09:18:20,недостаточно средств,нет,0.0
физ. лицо,списание средств,2239.2,безналичный,Минск,Белинвестбанк-GUMM-156,22-05-2011,23:51:12,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4205.95,безналичный,Минск,БелАгропромбанк-LJLV-428,25-12-2015,23:06:52,недостаточно средств,да,45.97
физ. лицо,списание средств,2281.74,безналичный,Минск,БелАгропромбанк-YVXW-340,28-04-2014,20:21:22,успешно,да,67.91
физ. лицо,получение средств,470.57,безналичный,Минск,Беларусбанк-UBKU-547,20-02-2019,16:36:26,успешно,нет,0.0
юр. лицо,списание средств,2461.16,наличный,Минск,Белинвестбанк-MOQC-388,29-12-2009,03:45:51,недостаточно средств,да,36.59
физ. лицо,получение средств,4546.7,наличный,Минск,Беларусбанк-LICK-322,22-06-2014,12:24:06,успешно,нет,0.0
физ. лицо,списание средств,652.71,наличный,Минск,МаксБанк-DPSI-524,04-05-2007,10:27:38,неправильный ввод пин-кода,да,54.97
физ. лицо,списание средств,1388.93,безналичный,Минск,Белинвестбанк-GDCS-554,05-04-2000,02:44:55,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2991.87,наличный,Минск,Белинвестбанк-KSRA-652,22-03-2023,21:01:35,успешно,нет,0.0
физ. лицо,списание средств,520.33,наличный,Минск,Белинвестбанк-ICNV-868,03-04-2021,05:49:17,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2717.48,наличный,Минск,Приорбанк-ATWV-734,05-12-2004,18:58:49,успешно,нет,0.0
юр. лицо,получение средств,2296.94,наличный,Минск,Приорбанк-GFEJ-511,04-08-2021,03:50:35,успешно,нет,0.0
юр. лицо,получение средств,4098.56,безналичный,Минск,Беларусбанк-AMVE-837,08-12-2021,19:30:25,успешно,нет,0.0
физ. лицо,списание средств,1851.8,безналичный,Минск,Приорбанк-WLFK-999,22-08-2009,00:26:48,недостаточно средств,да,62.87
юр. лицо,списание средств,2375.6,наличный,Минск,Белинвестбанк-YTWR-709,29-04-2009,17:40:06,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1607.48,безналичный,Минск,Приорбанк-HJRL-915,14-11-2003,02:26:35,неправильный ввод пин-кода,да,72.62
юр. лицо,получение средств,1140.9,безналичный,Минск,Белинвестбанк-XBRJ-607,21-05-2000,14:41:05,успешно,нет,0.0
юр. лицо,получение средств,4135.84,наличный,Минск,Белинвестбанк-WVLX-046,30-04-2024,08:23:02,успешно,нет,0.0
юр. лицо,получение средств,60.21,наличный,Минск,Белинвестбанк-WZAX-745,06-10-2008,22:40:02,успешно,нет,0.0
физ. лицо,получение средств,4416.31,безналичный,Минск,БелАгропромбанк-YUBD-728,27-01-2001,03:21:16,успешно,нет,0.0
юр. лицо,списание средств,2850.93,наличный,Минск,Белинвестбанк-PHCK-047,20-05-2011,10:32:31,недостаточно средств,нет,0.0
юр. лицо,списание средств,4605.16,наличный,Минск,Беларусбанк-JVVJ-757,03-10-2013,22:26:00,недостаточно средств,да,309.26
физ. лицо,списание средств,443.33,наличный,Минск,Приорбанк-EKDY-273,01-04-2011,04:06:46,успешно,нет,0.0
физ. лицо,получение средств,4313.17,наличный,Минск,БелАгропромбанк-TPFK-766,16-12-2016,07:49:55,успешно,нет,0.0
физ. лицо,списание средств,464.73,наличный,Минск,Белинвестбанк-PIZH-937,11-11-2011,19:47:30,успешно,нет,0.0
юр. лицо,списание средств,4360.66,безналичный,Минск,МаксБанк-PZSE-093,28-08-2020,17:23:57,недостаточно средств,да,264.09
юр. лицо,списание средств,2916.57,безналичный,Минск,БелАгропромбанк-ATAE-869,17-07-2009,21:36:49,успешно,да,128.74
юр. лицо,списание средств,2500.35,наличный,Минск,Приорбанк-DOQY-569,11-02-2008,05:15:33,успешно,нет,0.0
физ. лицо,списание средств,4263.6,безналичный,Минск,Приорбанк-DQVB-340,20-10-2021,14:29:57,недостаточно средств,нет,0.0
физ. лицо,получение средств,2088.23,безналичный,Минск,БелАгропромбанк-BXNH-178,18-11-2014,16:53:12,успешно,нет,0.0
физ. лицо,списание средств,4482.77,безналичный,Минск,БелАгропромбанк-OPTY-175,16-06-2018,11:22:51,успешно,нет,0.0
физ. лицо,получение средств,2132.48,наличный,Минск,Беларусбанк-CTCW-517,22-09-2002,22:26:57,успешно,нет,0.0
юр. лицо,получение средств,775.82,наличный,Минск,Белинвестбанк-WJQR-670,27-10-2008,20:32:12,успешно,нет,0.0
юр. лицо,списание средств,4046.94,безналичный,Минск,Беларусбанк-DIRU-515,15-11-2004,05:07:52,успешно,да,352.88
физ. лицо,получение средств,576.05,безналичный,Минск,МаксБанк-ZZYO-119,29-11-2015,18:50:10,успешно,нет,0.0
юр. лицо,списание средств,1455.84,наличный,Минск,Белинвестбанк-KYDO-625,04-10-2006,13:44:47,неправильный ввод пин-кода,да,23.56
физ. лицо,списание средств,2624.28,наличный,Минск,Белинвестбанк-VGDI-044,24-11-2009,11:23:40,успешно,нет,0.0
физ. лицо,получение средств,4508.12,безналичный,Минск,БелАгропромбанк-SNVV-021,03-06-2001,14:14:38,успешно,нет,0.0
физ. лицо,получение средств,2513.38,безналичный,Минск,Беларусбанк-EOBZ-803,08-11-2013,04:11:44,успешно,нет,0.0
физ. лицо,получение средств,4412.49,наличный,Минск,Приорбанк-MQZH-664,05-12-2002,23:09:18,успешно,нет,0.0
физ. лицо,получение средств,3912.27,наличный,Минск,БелАгропромбанк-PQYH-617,10-12-2021,23:12:12,успешно,нет,0.0
физ. лицо,получение средств,4076.97,наличный,Минск,Приорбанк-ICWZ-962,26-04-2004,00:10:41,успешно,нет,0.0
физ. лицо,списание средств,3658.13,наличный,Минск,Беларусбанк-ZDIB-509,18-11-2003,11:24:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4315.17,наличный,Минск,Беларусбанк-ITIN-250,02-10-2016,08:37:22,недостаточно средств,да,165.05
физ. лицо,списание средств,572.7,безналичный,Минск,МаксБанк-MJUI-386,22-10-2003,10:47:13,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,784.07,безналичный,Минск,Приорбанк-GUKQ-709,29-11-2017,01:36:17,успешно,нет,0.0
юр. лицо,получение средств,885.12,безналичный,Минск,Приорбанк-FJLH-897,03-05-2020,14:11:55,успешно,нет,0.0
юр. лицо,получение средств,2185.17,наличный,Минск,МаксБанк-FOZJ-960,22-07-2004,05:47:02,успешно,нет,0.0
юр. лицо,получение средств,2058.83,наличный,Минск,Приорбанк-YIQY-040,26-05-2006,02:00:51,успешно,нет,0.0
физ. лицо,получение средств,2107.41,безналичный,Минск,БелАгропромбанк-UOEV-643,26-07-2012,06:18:51,успешно,нет,0.0
физ. лицо,списание средств,1693.34,безналичный,Минск,Беларусбанк-SPAJ-470,04-06-2022,18:55:08,неправильный ввод пин-кода,да,29.97
юр. лицо,получение средств,2871.34,наличный,Минск,Белинвестбанк-HIBL-281,16-03-2021,10:53:41,успешно,нет,0.0
юр. лицо,списание средств,494.15,наличный,Минск,Приорбанк-SAGD-922,12-01-2004,04:50:05,успешно,да,14.74
физ. лицо,получение средств,3862.13,наличный,Минск,БелАгропромбанк-ZPBT-209,10-03-2020,18:21:00,успешно,нет,0.0
физ. лицо,списание средств,2144.68,наличный,Минск,МаксБанк-RTZP-677,27-03-2002,02:10:06,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1116.96,безналичный,Минск,Беларусбанк-IQNZ-147,05-07-2008,20:01:42,недостаточно средств,нет,0.0
юр. лицо,списание средств,1072.06,безналичный,Минск,МаксБанк-NPDP-799,03-12-2008,13:28:20,недостаточно средств,да,65.08
юр. лицо,списание средств,2192.26,безналичный,Минск,Беларусбанк-HOMJ-923,07-06-2011,20:21:16,недостаточно средств,нет,0.0
юр. лицо,получение средств,2657.14,наличный,Минск,БелАгропромбанк-VZLF-593,27-10-2013,05:25:32,успешно,нет,0.0
физ. лицо,списание средств,509.78,наличный,Минск,БелАгропромбанк-GHZT-871,07-09-2011,06:28:02,недостаточно средств,да,40.87
юр. лицо,получение средств,914.17,безналичный,Минск,Беларусбанк-NMZK-931,16-12-2000,14:29:11,успешно,нет,0.0
юр. лицо,получение средств,194.86,безналичный,Минск,Беларусбанк-WMMG-506,17-06-2018,13:17:24,успешно,нет,0.0
физ. лицо,получение средств,3746.77,безналичный,Минск,Белинвестбанк-PAND-973,03-04-2000,00:09:35,успешно,нет,0.0
физ. лицо,списание средств,4251.29,безналичный,Минск,Белинвестбанк-SJOO-420,17-06-2017,23:40:03,успешно,нет,0.0
физ. лицо,получение средств,2338.11,безналичный,Минск,Беларусбанк-FUFR-567,15-05-2022,00:38:02,успешно,нет,0.0
физ. лицо,получение средств,603.34,безналичный,Минск,Беларусбанк-IXDK-532,29-12-2023,06:23:49,успешно,нет,0.0
физ. лицо,списание средств,3023.07,безналичный,Минск,Белинвестбанк-ZBPZ-474,11-10-2020,00:12:55,недостаточно средств,да,282.49
физ. лицо,получение средств,925.35,безналичный,Минск,Белинвестбанк-ZCWQ-699,02-09-2001,11:13:54,успешно,нет,0.0
юр. лицо,списание средств,2019.89,безналичный,Минск,Приорбанк-MAQV-158,28-06-2009,06:11:28,неправильный ввод пин-кода,да,56.91
физ. лицо,списание средств,4308.27,наличный,Минск,Беларусбанк-FQXD-446,31-07-2009,06:08:52,успешно,нет,0.0
физ. лицо,получение средств,285.1,наличный,Минск,БелАгропромбанк-IPMN-128,18-05-2011,23:01:35,успешно,нет,0.0
физ. лицо,списание средств,4373.38,наличный,Минск,Белинвестбанк-VVDQ-998,07-11-2015,13:57:51,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3950.21,безналичный,Минск,МаксБанк-OHYV-061,13-10-2003,21:37:29,успешно,нет,0.0
юр. лицо,получение средств,184.32,наличный,Минск,Беларусбанк-NVUH-835,18-03-2021,05:47:06,успешно,нет,0.0
физ. лицо,списание средств,3922.27,наличный,Минск,Приорбанк-EBEG-992,15-12-2005,19:56:53,успешно,нет,0.0
физ. лицо,получение средств,4496.02,наличный,Минск,БелАгропромбанк-SLEW-651,13-05-2012,23:12:48,успешно,нет,0.0
юр. лицо,списание средств,3848.12,безналичный,Минск,МаксБанк-GCTK-270,15-11-2000,09:59:10,успешно,да,75.2
физ. лицо,получение средств,3254.52,безналичный,Минск,Беларусбанк-XJGG-268,08-03-2007,04:26:57,успешно,нет,0.0
физ. лицо,получение средств,508.37,наличный,Минск,МаксБанк-BSUC-063,09-10-2014,22:03:10,успешно,нет,0.0
юр. лицо,списание средств,2320.47,безналичный,Минск,Беларусбанк-DUWT-444,31-01-2013,14:02:21,успешно,нет,0.0
юр. лицо,получение средств,2080.92,наличный,Минск,МаксБанк-WLEG-208,19-11-2017,12:36:13,успешно,нет,0.0
